n,jarvis,graham,quickhull
100,2.5656000000000005e-6,2.38304e-5,9.575e-6
500,1.2883400000000001e-5,0.0001642372,1.19404e-5
1000,1.7248200000000002e-5,0.00034102899999999996,2.31722e-5
2000,6.346760000000001e-5,0.0008832795999999998,8.7009e-5
5000,0.00015439860000000002,0.0025521289999999998,0.00026494940000000003
10000,0.0003187662,0.0056368396000000005,0.0002324604
30000,0.0011665148000000003,0.019503714,0.0033466731999999997
50000,0.0018479718,0.0344291362,0.0020955074
70000,0.0024087988,0.045025759400000004,0.0014972356
100000,0.0038182043999999997,0.0691434336,0.0018247724
150000,0.005363069400000001,0.1044937288,0.0025902839999999996
