proporcion,n,jarvis,graham,quickhull,h
0.1,100,3.0338e-6,2.861e-6,3.0138000000000003e-6,17
0.1,500,3.66868e-5,1.7452200000000002e-5,1.19066e-5,51
0.1,1000,0.0001317944,5.6545599999999996e-5,2.33774e-5,101
0.1,2000,0.0004719256,0.00017170800000000002,7.1263e-5,201
0.1,5000,0.0029730328,0.0014981807999999998,0.0001304446,501
0.1,10000,0.0118048152,0.000905477,0.00030359100000000003,1000
0.1,30000,0.10710925699999999,0.0028737339999999998,0.001711476,3000
0.1,50000,0.291459322,0.0049940066,0.0016266834,5000
0.1,70000,0.5719819842,0.0076645618,0.0030029594,7000
0.1,100000,1.1625680022,0.0111787856,0.0042884414,10000
0.1,125000,1.804973008,0.0143779034,0.0059476868,12500
0.1,150000,2.6396173208,0.018109741999999998,0.0059675964000000005,15000
0.1,200000,4.7084091628,0.0247239204,0.0089345018,20000
0.25,100,3.5804000000000005e-6,2.4230000000000003e-6,2.5930000000000004e-6,26
0.25,500,0.00011037799999999999,1.7118800000000003e-5,1.6257800000000002e-5,126
0.25,1000,0.0003081836,4.66442e-5,3.76034e-5,251
0.25,2000,0.001139803,0.00010947279999999999,7.608440000000001e-5,501
0.25,5000,0.007268296599999999,0.0003809598,0.000274325,1250
0.25,10000,0.0295656604,0.0016599936000000002,0.0005233420000000001,2500
0.25,30000,0.2661652072,0.0030317485999999997,0.0016498632000000002,7500
0.25,50000,0.7339971392000001,0.0049689546,0.0038192876,12500
0.25,70000,1.4349157985999998,0.007793588400000001,0.004837236,17500
0.25,100000,2.9605669604,0.0116273354,0.006299088600000001,25000
0.25,125000,4.596601809799999,0.0156744514,0.0086783074,31250
0.25,150000,6.6135212342,0.016981606000000003,0.0121722964,37500
0.25,200000,11.7820015056,0.0261672522,0.017279528800000003,50000
0.4,100,5.7282e-6,2.1178000000000003e-6,3.2674e-6,41
0.4,500,0.00012490960000000002,1.20562e-5,1.83642e-5,200
0.4,1000,0.0005128724000000001,4.05182e-5,5.4383200000000005e-5,401
0.4,2000,0.0019437469999999998,0.00012073739999999998,0.0001230086,800
0.4,5000,0.0115273732,0.00035792680000000006,0.0003091402,2000
0.4,10000,0.0517600276,0.0010451214000000001,0.0007100834,4000
0.4,30000,0.4256405979999999,0.0027873384,0.0032607752000000005,12000
0.4,50000,1.1687526724,0.0050902058,0.0053132576,20000
0.4,70000,2.3186277292,0.0074740304,0.0076628924,28000
0.4,100000,4.7036481806,0.0118583464,0.0097658984,40000
0.4,125000,7.353069375,0.015015220000000001,0.014784378199999998,50000
0.4,150000,10.5990925182,0.0176195112,0.0175890914,60000
0.4,200000,18.8042196966,0.0255723862,0.0243016338,80000
